mpicxx -O3 -DUSE_HIP -w src/task1_shared.cu -o build/task1
mpicxx -O3 -DUSE_HIP -w src/task2.cu -o build/task2
Running task1...
Iteration 100, Residual: 1.612945e+06, Error: 2.524606e+03
Iteration 200, Residual: 1.018461e+06, Error: 2.453359e+03
Iteration 300, Residual: 7.944348e+05, Error: 2.392075e+03
Iteration 400, Residual: 6.733852e+05, Error: 2.336372e+03
Iteration 500, Residual: 5.960606e+05, Error: 2.284517e+03
Iteration 600, Residual: 5.415091e+05, Error: 2.235602e+03
Iteration 700, Residual: 5.003825e+05, Error: 2.189076e+03
Iteration 800, Residual: 4.678664e+05, Error: 2.144569e+03
Iteration 900, Residual: 4.412239e+05, Error: 2.101819e+03
Iteration 1000, Residual: 4.187821e+05, Error: 2.060628e+03
Iteration 1100, Residual: 3.994596e+05, Error: 2.020843e+03
Iteration 1200, Residual: 3.825257e+05, Error: 1.982342e+03
Iteration 1300, Residual: 3.674682e+05, Error: 1.945024e+03
Iteration 1400, Residual: 3.539171e+05, Error: 1.908806e+03
Iteration 1500, Residual: 3.415982e+05, Error: 1.873617e+03
Iteration 1600, Residual: 3.303036e+05, Error: 1.839394e+03
Iteration 1700, Residual: 3.198728e+05, Error: 1.806084e+03
Iteration 1800, Residual: 3.101795e+05, Error: 1.773639e+03
Iteration 1900, Residual: 3.011231e+05, Error: 1.742017e+03
Iteration 2000, Residual: 2.926221e+05, Error: 1.711180e+03
Iteration 2100, Residual: 2.846100e+05, Error: 1.681094e+03
Iteration 2200, Residual: 2.770315e+05, Error: 1.651726e+03
Iteration 2300, Residual: 2.698408e+05, Error: 1.623049e+03
Iteration 2400, Residual: 2.629987e+05, Error: 1.595036e+03
Iteration 2500, Residual: 2.564724e+05, Error: 1.567663e+03
Iteration 2600, Residual: 2.502335e+05, Error: 1.540906e+03
Iteration 2700, Residual: 2.442574e+05, Error: 1.514744e+03
Iteration 2800, Residual: 2.385231e+05, Error: 1.489157e+03
Iteration 2900, Residual: 2.330117e+05, Error: 1.464128e+03
Iteration 3000, Residual: 2.277071e+05, Error: 1.439637e+03
Iteration 3100, Residual: 2.225948e+05, Error: 1.415669e+03
